ULTA
TJX
WAT
WFC
VRTX
URI
TSCO
ZBRA
WEC
WYNN
TSN
UNH
ZION
TER
VFC
XEL
TSLA
VMC
WRB
VTR
WDC
TMO
XOM
TXN
VRSK
WM
TROW
WMB
TRGP
TFX
TRMB
TRV
WAB
WY
